algorithm,word,n_guesses
PositionalExplorerAmongstPossible,ALIAS,4
PositionalExplorerAmongstPossible,ALIBI,4
PositionalExplorerAmongstPossible,ALICE,3
PositionalExplorerAmongstPossible,ALIEN,3
PositionalExplorerAmongstPossible,ALIGN,3
PositionalExplorerAmongstPossible,ALIKE,3
PositionalExplorerAmongstPossible,ALINE,3
PositionalExplorerAmongstPossible,ALISA,4
PositionalExplorerAmongstPossible,ALIVE,4
PositionalExplorerAmongstPossible,ALLAH,4
PositionalExplorerAmongstPossible,ALLAN,5
PositionalExplorerAmongstPossible,ALLAY,5
PositionalExplorerAmongstPossible,ALLEN,4
PositionalExplorerAmongstPossible,ALLEY,4
PositionalExplorerAmongstPossible,ALLIE,4
PositionalExplorerAmongstPossible,ALLOT,3
PositionalExplorerAmongstPossible,ALLOW,4
PositionalExplorerAmongstPossible,ALLOY,5
PositionalExplorerAmongstPossible,ALOES,3
PositionalExplorerAmongstPossible,ALOFT,4
PositionalExplorerAmongstPossible,ALOHA,5
PositionalExplorerAmongstPossible,ALONE,4
PositionalExplorerAmongstPossible,ALONG,3
PositionalExplorerAmongstPossible,BEEPS,3
PositionalExplorerAmongstPossible,BEERS,5
PositionalExplorerAmongstPossible,BEETS,4
PositionalExplorerAmongstPossible,BEFIT,3
PositionalExplorerAmongstPossible,BEFOG,4
PositionalExplorerAmongstPossible,BEGAN,3
PositionalExplorerAmongstPossible,BEGAT,4
PositionalExplorerAmongstPossible,BEGET,4
PositionalExplorerAmongstPossible,BEGIN,3
PositionalExplorerAmongstPossible,BEGOT,3
PositionalExplorerAmongstPossible,BEGUN,4
PositionalExplorerAmongstPossible,BEHAN,4
PositionalExplorerAmongstPossible,BEIGE,3
PositionalExplorerAmongstPossible,BEING,4
PositionalExplorerAmongstPossible,BELAU,4
PositionalExplorerAmongstPossible,BELAY,5
PositionalExplorerAmongstPossible,BELCH,3
PositionalExplorerAmongstPossible,BELEM,4
PositionalExplorerAmongstPossible,BELIE,3
PositionalExplorerAmongstPossible,BELLA,5
